recall,prec,specificity,accuracy,AUC,run time(s),F1 score,depth,dataset
0.4,0.18614000000000003,0.77,0.64668,0.25404,0.2041266918182373,0.585,1,iris
0.96,0.9103,0.95,0.9533200000000001,0.9332600000000001,0.1033747673034668,0.9550000000000001,2,iris
0.9400000000000001,0.9084800000000002,0.95,0.9466800000000001,0.92178,0.1434478759765625,0.945,4,iris
0.8400000000000001,0.93808,0.97,0.9266400000000001,0.87856,0.24000182151794433,0.905,8,iris
0.4,0.19048,0.78,0.6533399999999999,0.25808,0.06954364776611328,0.5900000000000001,1,iris
0.9399999999999998,0.87292,0.93,0.9333199999999999,0.9025399999999999,0.09890642166137695,0.9349999999999999,2,iris
0.9399999999999998,0.9436399999999999,0.9700000000000001,0.9600200000000001,0.9399200000000001,0.14524550437927247,0.9549999999999998,4,iris
0.86,0.9177800000000002,0.96,0.92668,0.88738,0.245797061920166,0.9099999999999999,8,iris
0.4,0.18180000000000002,0.76,0.64002,0.25,0.07173895835876465,0.58,1,iris
0.9200000000000002,0.8770800000000001,0.93,0.92668,0.8937199999999998,0.09853434562683105,0.925,2,iris
0.9400000000000001,0.89566,0.9399999999999998,0.94002,0.91386,0.14361968040466308,0.9400000000000001,4,iris
0.9400000000000001,0.94546,0.97,0.96,0.9397,0.2424487590789795,0.9550000000000001,8,iris
0.4,0.18614000000000003,0.7699999999999999,0.64668,0.25404,0.07018923759460449,0.585,1,iris
0.9400000000000001,0.9232400000000001,0.96,0.95336,0.92934,0.09470663070678711,0.95,2,iris
0.9,0.91738,0.96,0.9400000000000001,0.90732,0.14563517570495604,0.93,4,iris
0.86,0.87142,0.93,0.9066600000000001,0.86128,0.24645700454711914,0.8949999999999999,8,iris
0.4,0.17858000000000002,0.75,0.63334,0.2467,0.07169146537780761,0.575,1,iris
0.8,0.8854599999999999,0.95,0.9,0.82636,0.09602375030517578,0.875,2,iris
0.9199999999999999,0.8895,0.9299999999999999,0.92668,0.89246,0.14461970329284668,0.925,4,iris
0.9199999999999999,0.89212,0.9400000000000001,0.9333199999999999,0.90152,0.24612884521484374,0.93,8,iris
0.4,0.18614000000000003,0.77,0.64668,0.25404,0.07277431488037109,0.585,1,iris
0.9199999999999999,0.9134399999999999,0.95,0.94002,0.9117599999999999,0.09574451446533203,0.9349999999999999,2,iris
0.9200000000000002,0.9377800000000001,0.97,0.9533200000000001,0.92842,0.14351358413696289,0.945,4,iris
0.9,0.94848,0.97,0.94666,0.91478,0.2558382511138916,0.9349999999999999,8,iris
0.6,0.27270000000000005,0.6399999999999999,0.62668,0.375,0.07297191619873047,0.6199999999999999,1,iris
0.9200000000000002,0.91182,0.95,0.9400000000000001,0.9118999999999999,0.09617242813110352,0.9349999999999999,2,iris
0.9400000000000001,0.91332,0.95,0.94666,0.9226000000000001,0.14438228607177733,0.945,4,iris
0.9199999999999999,0.9303000000000001,0.96,0.94666,0.9205200000000001,0.24431276321411133,0.9400000000000001,8,iris
0.4,0.1822,0.76,0.64002,0.25026000000000004,0.07242507934570312,0.58,1,iris
0.9199999999999999,0.8537800000000001,0.9199999999999999,0.9199999999999999,0.8811199999999999,0.0976247787475586,0.9200000000000002,2,iris
0.9199999999999999,0.9218200000000001,0.96,0.94668,0.91996,0.14314589500427247,0.9400000000000001,4,iris
0.9199999999999999,0.9418199999999999,0.97,0.9533400000000001,0.9294399999999999,0.24349541664123536,0.945,8,iris
0.4,0.19048,0.78,0.6533399999999999,0.25808,0.07052044868469239,0.5900000000000001,1,iris
0.96,0.8871600000000001,0.93,0.9400000000000001,0.9164999999999999,0.09593777656555176,0.9450000000000001,2,iris
0.9,0.9053000000000001,0.95,0.9333400000000001,0.8983000000000001,0.14293842315673827,0.925,4,iris
0.9199999999999999,0.9262599999999999,0.96,0.94666,0.9185000000000001,0.2445528030395508,0.9399999999999998,8,iris
0.4,0.18180000000000002,0.76,0.64002,0.25,0.07408361434936524,0.58,1,iris
0.9399999999999998,0.9103,0.95,0.94666,0.9227399999999999,0.09623465538024903,0.945,2,iris
0.8800000000000001,0.9186399999999999,0.96,0.9333400000000001,0.89648,0.14633350372314452,0.9199999999999999,4,iris
0.9199999999999999,0.9818200000000001,0.99,0.96668,0.94466,0.24962563514709474,0.9549999999999998,8,iris
0.9000199999999999,0.86972,0.9246399999999999,0.9163600000000001,0.8743000000000001,0.24953489303588866,0.9123188405797101,1,wine
0.81516,0.9777799999999999,0.9916599999999999,0.933,0.8815200000000001,0.35019402503967284,0.903409090909091,2,wine
0.95,0.8872800000000002,0.9315,0.9372399999999999,0.9122199999999999,0.5376561164855957,0.9407608695652174,4,wine
0.9333400000000001,0.8422599999999999,0.9065200000000001,0.915,0.88092,0.8923769950866699,0.919927536231884,8,wine
0.88182,0.86784,0.9326000000000001,0.9156600000000001,0.8664799999999999,0.25000782012939454,0.9072134387351779,1,wine
0.91062,0.97142,0.9833400000000001,0.9597999999999999,0.93148,0.3519792079925537,0.9469696969696969,2,wine
0.84698,0.8234,0.9079599999999999,0.88792,0.8321799999999999,0.5387860774993897,0.8774703557312253,4,wine
0.8985,0.8944000000000001,0.9413,0.92714,0.89036,0.9130949020385742,0.9198945981554678,8,wine
0.8394,0.8850999999999999,0.9333199999999999,0.9032600000000001,0.829,0.2496412754058838,0.8863636363636364,1,wine
0.8985,0.94826,0.975,0.94966,0.9216000000000001,0.35361948013305666,0.9367424242424243,2,wine
0.8803000000000001,0.8423,0.9068799999999999,0.89804,0.8528399999999999,0.5444142341613769,0.8935935441370226,4,wine
0.96668,0.9571400000000001,0.97392,0.9712400000000001,0.9586,0.8911839485168457,0.9702898550724637,8,wine
0.8985,0.86972,0.9326000000000001,0.9212400000000001,0.8789000000000001,0.25316929817199707,0.9155467720685111,1,wine
0.8803000000000001,0.9046200000000001,0.94962,0.9268000000000001,0.88666,0.3536384105682373,0.9149703557312254,2,wine
0.9318200000000001,0.8892800000000001,0.9413,0.9382199999999999,0.9067000000000001,0.5385632038116455,0.9365612648221344,4,wine
0.8803000000000001,0.87224,0.9326000000000001,0.9153399999999999,0.87342,0.9025725841522216,0.9064558629776022,8,wine
0.8788,0.8545999999999999,0.9246399999999999,0.9097999999999999,0.86236,0.2509614944458008,0.9017127799736494,1,wine
0.91668,0.91214,0.9579599999999999,0.9441200000000001,0.91378,0.35347652435302734,0.9373188405797102,2,wine
0.95002,0.841,0.90724,0.9212400000000001,0.8903000000000001,0.5388007640838623,0.928623188405797,4,wine
0.9333400000000001,0.8823000000000001,0.93224,0.9323600000000001,0.90234,0.8980620861053467,0.9327898550724638,8,wine
0.8803000000000001,0.8642800000000002,0.925,0.91044,0.8684600000000001,0.2517364025115967,0.9026515151515152,1,wine
0.9333199999999999,0.9664400000000001,0.98332,0.9666599999999999,0.9477399999999999,0.34972152709960935,0.9583333333333334,2,wine
0.86364,0.8681599999999999,0.92426,0.9042399999999999,0.85796,0.5459530830383301,0.8939558629776021,4,wine
0.91516,0.8580200000000001,0.9162799999999999,0.916,0.88172,0.8961164951324463,0.9157279314888009,8,wine
