recall,prec,specificity,accuracy,F1 score,AUC,runtime,depth,dataset
0.3636,0.3636,0.6316,0.5333,0.3636,0.4976076555023924,0.02502894401550293,1,iris
0.8,0.3636,0.72,0.7333,0.5,0.76,0.03595113754272461,2,iris
0.8462,1.0,1.0,0.9333,0.9167,0.9230769230769231,0.043641090393066406,3,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.0547490119934082,4,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.06193900108337402,5,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.07747387886047363,6,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.08382320404052734,7,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.09080719947814941,8,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.10095000267028809,9,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.1020500659942627,10,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.10314106941223145,11,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.11368322372436523,12,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.1253349781036377,13,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.1300048828125,14,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.13513422012329102,15,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.1423332691192627,16,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.14910268783569336,17,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.1577310562133789,18,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.16910696029663086,19,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.17663311958312988,20,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.18599605560302734,21,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.18802094459533691,22,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.19600415229797363,23,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.2050478458404541,24,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.21029210090637207,25,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.21734285354614258,26,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.2280900478363037,27,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.23468613624572754,28,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.2412278652191162,29,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.2484879493713379,30,iris
0.8235,1.0,1.0,0.9167,0.9032,0.9117647058823529,0.08545422554016113,1,wine
1.0,1.0,1.0,1.0,1.0,1.0,0.11578893661499023,2,wine
1.0,1.0,1.0,1.0,1.0,1.0,0.16092801094055176,3,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.1953420639038086,4,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.20722293853759766,5,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.2325131893157959,6,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.25859832763671875,7,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.28229808807373047,8,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.30925488471984863,9,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.33918094635009766,10,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.3669619560241699,11,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.3961939811706543,12,wine
