recall,prec,specificity,accuracy,AUC,run time(s),F1 score,no_trees,dataset
0.96,0.9284800000000001,0.96,0.96,0.94178,0.04367265701293945,0.96,2,iris
0.9800000000000001,0.9303000000000001,0.96,0.9666799999999999,0.9522600000000001,0.15021467208862305,0.97,5,iris
0.96,0.91748,0.95,0.95336,0.9338200000000001,0.31818113327026365,0.9550000000000001,10,iris
0.9800000000000001,0.9103,0.95,0.96,0.9427800000000002,0.6642102718353271,0.9649999999999999,20,iris
0.9800000000000001,0.9156599999999999,0.95,0.96,0.94438,0.04336657524108887,0.9650000000000001,2,iris
0.9399999999999998,0.92142,0.96,0.9533400000000001,0.9293800000000001,0.14979047775268556,0.95,5,iris
0.96,0.94848,0.9700000000000001,0.9666599999999999,0.95008,0.3203822135925293,0.9650000000000001,10,iris
0.9199999999999999,0.96,0.9800000000000001,0.96,0.93896,0.6650221347808838,0.95,20,iris
0.9199999999999999,0.90626,0.95,0.9400000000000001,0.9102,0.044883012771606445,0.9349999999999999,2,iris
0.9800000000000001,0.91332,0.95,0.95998,0.9436399999999999,0.14934015274047852,0.9650000000000001,5,iris
0.96,0.8982800000000001,0.9400000000000001,0.94666,0.9241400000000001,0.32179880142211914,0.95,10,iris
0.96,0.9318200000000001,0.96,0.9600199999999999,0.9436,0.661688756942749,0.96,20,iris
1.0,0.769,0.8400000000000001,0.8933200000000001,0.8662000000000001,0.044625473022460935,0.9200000000000002,2,iris
0.08,0.6,0.99,0.68666,0.13938,0.15203771591186524,0.5349999999999999,5,iris
0.9400000000000001,0.96182,0.9800000000000001,0.96668,0.9494400000000001,0.3237479209899902,0.96,10,iris
0.9400000000000001,0.95778,0.9800000000000001,0.9666600000000001,0.9484199999999999,0.6633584499359131,0.96,20,iris
0.8800000000000001,0.9777799999999999,0.99,0.9533200000000001,0.9239799999999999,0.045448017120361325,0.9349999999999999,2,iris
0.8800000000000001,1.0,1.0,0.9600200000000001,0.9331400000000001,0.14628682136535645,0.9399999999999998,5,iris
0.9800000000000001,0.9151399999999998,0.95,0.96,0.9436,0.31714701652526855,0.9650000000000001,10,iris
0.9400000000000001,0.92666,0.96,0.9533200000000001,0.9312999999999999,0.6636125087738037,0.95,20,iris
0.9800000000000001,0.9103,0.95,0.96,0.94278,0.04421291351318359,0.9650000000000001,2,iris
0.9,0.9800000000000001,0.99,0.96,0.93674,0.14875445365905762,0.945,5,iris
0.9400000000000001,0.92666,0.96,0.9533200000000001,0.9312999999999999,0.31972951889038087,0.95,10,iris
0.96,0.91182,0.95,0.9533400000000001,0.9341200000000001,0.6642313957214355,0.9550000000000001,20,iris
0.96,0.89748,0.9400000000000001,0.9466800000000001,0.9243399999999999,0.04451961517333984,0.9499999999999998,2,iris
0.9,0.94364,0.97,0.94666,0.9187000000000001,0.14998793601989746,0.9349999999999999,5,iris
0.6399999999999999,0.9314199999999999,0.97,0.8600199999999999,0.75118,0.3209599494934082,0.805,10,iris
0.9400000000000001,0.9414200000000001,0.9700000000000001,0.9600199999999999,0.93886,0.6673686504364014,0.9549999999999998,20,iris
0.8799999999999999,0.9777799999999999,0.99,0.9533200000000001,0.9239799999999999,0.04479532241821289,0.9349999999999999,2,iris
0.96,0.9303000000000001,0.96,0.9600199999999999,0.94174,0.14970183372497559,0.96,5,iris
0.9199999999999999,0.96182,0.9800000000000001,0.96,0.93774,0.31995739936828616,0.95,10,iris
0.9400000000000001,0.92444,0.96,0.9533200000000001,0.9302399999999998,0.6678786754608155,0.95,20,iris
0.68,0.6693800000000001,0.8,0.76,0.66598,0.0473902702331543,0.74,2,iris
0.42000000000000004,0.8314199999999999,0.96,0.7799799999999999,0.5526199999999999,0.1497325897216797,0.69,5,iris
0.96,0.9303000000000001,0.96,0.96,0.94274,0.3238828182220459,0.96,10,iris
0.9,0.91516,0.96,0.9399999999999998,0.90628,0.6697155952453613,0.93,20,iris
0.9199999999999999,0.8383800000000001,0.9099999999999999,0.91332,0.87492,0.044951772689819335,0.915,2,iris
0.8800000000000001,0.9800000000000001,0.99,0.9533400000000001,0.92622,0.1482266902923584,0.9349999999999999,5,iris
0.9400000000000001,0.9091000000000001,0.95,0.94668,0.9228200000000001,0.33585238456726074,0.945,10,iris
0.96,0.96182,0.9800000000000001,0.97334,0.9599599999999999,0.6660825252532959,0.97,20,iris
0.6799999999999999,0.87062,0.95,0.85998,0.7619,0.0451448917388916,0.8150000000000001,2,iris
0.96,0.89666,0.9400000000000001,0.94666,0.92546,0.14724817276000976,0.95,5,iris
0.9800000000000001,0.8424400000000001,0.9,0.92668,0.90288,0.32102694511413576,0.9400000000000001,10,iris
0.96,0.83314,0.9,0.9199999999999999,0.8897200000000002,0.6767859935760498,0.9299999999999999,20,iris
0.9800000000000001,0.9023200000000001,0.9400000000000001,0.9533400000000001,0.93568,0.0464970588684082,0.96,2,iris
0.9199999999999999,0.94666,0.9700000000000001,0.9533200000000001,0.92652,0.1523897171020508,0.945,5,iris
0.68,0.85754,0.95,0.86,0.75464,0.32366228103637695,0.8150000000000001,10,iris
0.9400000000000001,0.96182,0.9800000000000001,0.9666799999999999,0.9494400000000001,0.668151569366455,0.96,20,iris
0.96,0.89696,0.9400000000000001,0.94666,0.9245599999999999,0.04589242935180664,0.95,2,iris
0.9400000000000001,0.9596,0.9800000000000001,0.96668,0.94838,0.15036158561706542,0.96,5,iris
0.9400000000000001,0.9596,0.9800000000000001,0.9666799999999999,0.9483799999999999,0.32291903495788576,0.96,10,iris
0.9399999999999998,0.9414200000000001,0.97,0.9600200000000001,0.93886,0.6663049697875977,0.9550000000000001,20,iris
0.6599999999999999,0.8764199999999999,0.95,0.8533200000000001,0.747,0.04516658782958984,0.8049999999999999,2,iris
0.64,0.975,0.99,0.87332,0.7647200000000001,0.15035662651062012,0.8150000000000001,5,iris
0.9,0.9596,0.9800000000000001,0.9533400000000001,0.92616,0.32347807884216306,0.9400000000000001,10,iris
