recall,prec,specificity,accuracy,F1 score,AUC,runtime,no_trees,dataset
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.022196054458618164,2,iris
0.8333,0.625,0.875,0.8667,0.7143,0.8541666666666667,0.03485703468322754,3,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.04416680335998535,4,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.06467509269714355,5,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.07540082931518555,6,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.08808112144470215,7,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.09937262535095215,8,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.10503888130187988,9,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.1123349666595459,10,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.12566304206848145,11,iris
1.0,0.625,0.88,0.9,0.7692,0.94,0.1344757080078125,12,iris
1.0,0.375,0.8148,0.8333,0.5455,0.9074074074074074,0.14655613899230957,13,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.16077184677124023,14,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.16696500778198242,15,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.18174314498901367,16,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.1921379566192627,17,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.20160198211669922,18,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.21605205535888672,19,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.22747302055358887,20,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.2354412078857422,21,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.24525976181030273,22,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.26293206214904785,23,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.26933717727661133,24,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.284088134765625,25,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.29276180267333984,26,iris
1.0,0.625,0.88,0.9,0.7692,0.94,0.2998619079589844,27,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.31534504890441895,28,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.3270988464355469,29,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.33704090118408203,30,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.35169315338134766,31,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.3624231815338135,32,iris
