recall,prec,specificity,accuracy,F1 score,AUC,runtime,depth,dataset
0.3636,0.3636,0.6316,0.5333,0.3636,0.4976076555023924,0.0067479610443115234,1,iris
0.8,0.3636,0.72,0.7333,0.5,0.76,0.0073490142822265625,2,iris
0.8462,1.0,1.0,0.9333,0.9167,0.9230769230769231,0.007899284362792969,3,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.010620832443237305,4,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.008564949035644531,5,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.008732795715332031,6,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.008029937744140625,7,iris
0.9167,1.0,1.0,0.9667,0.9565,0.9583333333333333,0.00820302963256836,8,iris
0.9167,1.0,1.0,0.9667,0.9565,0.9583333333333333,0.008418798446655273,9,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.007252931594848633,10,iris
0.9167,1.0,1.0,0.9667,0.9565,0.9583333333333333,0.0073070526123046875,11,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.009297847747802734,12,iris
0.9167,1.0,1.0,0.9667,0.9565,0.9583333333333333,0.007375240325927734,13,iris
0.9167,1.0,1.0,0.9667,0.9565,0.9583333333333333,0.0072901248931884766,14,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.0074999332427978516,15,iris
0.9167,1.0,1.0,0.9667,0.9565,0.9583333333333333,0.007232189178466797,16,iris
0.9167,1.0,1.0,0.9667,0.9565,0.9583333333333333,0.0071718692779541016,17,iris
0.9167,1.0,1.0,0.9667,0.9565,0.9583333333333333,0.007316112518310547,18,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.007260799407958984,19,iris
0.9167,1.0,1.0,0.9667,0.9565,0.9583333333333333,0.00739288330078125,20,iris
0.9167,1.0,1.0,0.9667,0.9565,0.9583333333333333,0.00780797004699707,21,iris
0.9167,1.0,1.0,0.9667,0.9565,0.9583333333333333,0.007383823394775391,22,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.0074481964111328125,23,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.007524013519287109,24,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.007218837738037109,25,iris
0.9167,1.0,1.0,0.9667,0.9565,0.9583333333333333,0.008946895599365234,26,iris
0.9167,1.0,1.0,0.9667,0.9565,0.9583333333333333,0.0074310302734375,27,iris
0.9167,1.0,1.0,0.9667,0.9565,0.9583333333333333,0.00793313980102539,28,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.007647275924682617,29,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.008414983749389648,30,iris
0.8235,1.0,1.0,0.9167,0.9032,0.9117647058823529,0.007291078567504883,1,wine
1.0,1.0,1.0,1.0,1.0,1.0,0.0074939727783203125,2,wine
1.0,1.0,1.0,1.0,1.0,1.0,0.008487939834594727,3,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.0077667236328125,4,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.007483720779418945,5,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.007524728775024414,6,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.007580995559692383,7,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.007445096969604492,8,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.008214950561523438,9,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.007487058639526367,10,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.0075531005859375,11,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.007689952850341797,12,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.0073659420013427734,13,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.007694244384765625,14,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.0077440738677978516,15,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.0075800418853759766,16,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.007882833480834961,17,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.007884979248046875,18,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.007615804672241211,19,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.007071971893310547,20,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.007766008377075195,21,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.007871150970458984,22,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.00786900520324707,23,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.008271217346191406,24,wine
0.875,1.0,1.0,0.9444,0.9333,0.9375,0.007941007614135742,25,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.008018970489501953,26,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.007907867431640625,27,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.007966995239257812,28,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.007509946823120117,29,wine
0.9333,1.0,1.0,0.9722,0.9655,0.9666666666666667,0.008278846740722656,30,wine
0.8333,0.8108,0.9103,0.886,0.8219,0.8717948717948718,0.008641719818115234,1,cancer
0.8421,0.8649,0.9342,0.9035,0.8534,0.888157894736842,0.009760856628417969,2,cancer
1.0,0.7838,0.9059,0.9298,0.8788,0.9529411764705882,0.01046895980834961,3,cancer
0.9667,0.7838,0.9048,0.9211,0.8657,0.9357142857142857,0.011626958847045898,4,cancer
0.9375,0.8108,0.9146,0.9211,0.8696,0.9260670731707318,0.012670040130615234,5,cancer
0.9697,0.8649,0.9383,0.9474,0.9143,0.9539842873176206,0.013624906539916992,6,cancer
0.9394,0.8378,0.9259,0.9298,0.8857,0.9326599326599326,0.013128995895385742,7,cancer
0.9412,0.8649,0.9375,0.9386,0.9014,0.9393382352941176,0.01328587532043457,8,cancer
0.9429,0.8919,0.9494,0.9474,0.9167,0.9461121157323689,0.013169288635253906,9,cancer
0.9412,0.8649,0.9375,0.9386,0.9014,0.9393382352941176,0.01479792594909668,10,cancer
0.9444,0.9189,0.9615,0.9561,0.9315,0.952991452991453,0.013350725173950195,11,cancer
0.9444,0.9189,0.9615,0.9561,0.9315,0.952991452991453,0.013206005096435547,12,cancer
0.9429,0.8919,0.9494,0.9474,0.9167,0.9461121157323689,0.012917041778564453,13,cancer
1.0,0.8378,0.9277,0.9474,0.9117,0.963855421686747,0.013272762298583984,14,cancer
