recall,prec,specificity,accuracy,F1 score,AUC,runtime,no_trees,dataset
0.8,0.5,0.84,0.8333,0.6154,0.8200000000000001,0.010708093643188477,2,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.012250900268554688,3,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.013905048370361328,4,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.011566877365112305,5,iris
1.0,0.625,0.88,0.9,0.7692,0.94,0.012482166290283203,6,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.013286113739013672,7,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.015058040618896484,8,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.01465606689453125,9,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.014981746673583984,10,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.015720844268798828,11,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.016219139099121094,12,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.01787114143371582,13,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.018975019454956055,14,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.018713712692260742,15,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.019471168518066406,16,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.020067930221557617,17,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.020631074905395508,18,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.021392107009887695,19,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.021816730499267578,20,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.022405147552490234,21,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.023353099822998047,22,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.02382969856262207,23,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.024324893951416016,24,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.02511119842529297,25,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.02631235122680664,26,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.02652287483215332,27,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.02742600440979004,28,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.028055906295776367,29,iris
1.0,1.0,1.0,1.0,1.0,1.0,0.028689861297607422,30,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.029629945755004883,31,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.03062605857849121,32,iris
1.0,0.75,0.9167,0.9333,0.8571,0.9583333333333333,0.03134894371032715,33,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.03144502639770508,34,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.03435206413269043,35,iris
1.0,0.875,0.9565,0.9667,0.9333,0.9782608695652174,0.032659292221069336,36,iris
